step 970 used 13356412K, path: <PathGroup with 1564 deadended, 22 active>
step 980 used 13506116K, path: <PathGroup with 1582 deadended, 23 active>
step 990 used 13663068K, path: <PathGroup with 1602 deadended, 19 active>
step 1000 used 13808208K, path: <PathGroup with 1619 deadended, 21 active>
step 1010 used 13946848K, path: <PathGroup with 1634 deadended, 22 active>
step 1020 used 14096416K, path: <PathGroup with 1652 deadended, 23 active>
step 1030 used 14254352K, path: <PathGroup with 1672 deadended, 19 active>
step 1040 used 14399324K, path: <PathGroup with 1689 deadended, 21 active>
step 1050 used 14545856K, path: <PathGroup with 1704 deadended, 22 active>
step 1060 used 14687564K, path: <PathGroup with 1722 deadended, 23 active>
step 1070 used 14845172K, path: <PathGroup with 1742 deadended, 19 active>
step 1080 used 14990740K, path: <PathGroup with 1759 deadended, 21 active>
step 1090 used 15144368K, path: <PathGroup with 1774 deadended, 22 active>
step 1100 used 15304860K, path: <PathGroup with 1792 deadended, 23 active>
step 1110 used 15460064K, path: <PathGroup with 1812 deadended, 19 active>
step 1120 used 15614864K, path: <PathGroup with 1829 deadended, 21 active>
step 1130 used 15768964K, path: <PathGroup with 1844 deadended, 22 active>
step 1140 used 15927968K, path: <PathGroup with 1862 deadended, 23 active>
step 1150 used 16092496K, path: <PathGroup with 1882 deadended, 19 active>
step 1160 used 16235236K, path: <PathGroup with 1899 deadended, 21 active>
step 1170 used 16389356K, path: <PathGroup with 1914 deadended, 22 active>
step 1180 used 16548428K, path: <PathGroup with 1932 deadended, 23 active>
step 1190 used 16713312K, path: <PathGroup with 1952 deadended, 19 active>
step 1200 used 16858924K, path: <PathGroup with 1969 deadended, 21 active>
step 1210 used 17013136K, path: <PathGroup with 1984 deadended, 22 active>
step 1220 used 17172216K, path: <PathGroup with 2002 deadended, 23 active>
step 1230 used 17337520K, path: <PathGroup with 2022 deadended, 19 active>
step 1240 used 17491620K, path: <PathGroup with 2039 deadended, 21 active>
step 1250 used 17646592K, path: <PathGroup with 2054 deadended, 22 active>
step 1260 used 17794472K, path: <PathGroup with 2072 deadended, 23 active>
step 1270 used 17959632K, path: <PathGroup with 2092 deadended, 19 active>
step 1280 used 18114316K, path: <PathGroup with 2109 deadended, 21 active>
step 1290 used 18269276K, path: <PathGroup with 2124 deadended, 22 active>
step 1300 used 18429200K, path: <PathGroup with 2142 deadended, 23 active>
step 1310 used 18581292K, path: <PathGroup with 2162 deadended, 19 active>
step 1320 used 18735828K, path: <PathGroup with 2179 deadended, 21 active>
step 1330 used 18890724K, path: <PathGroup with 2194 deadended, 22 active>
step 1340 used 19051412K, path: <PathGroup with 2212 deadended, 23 active>
step 1350 used 19217152K, path: <PathGroup with 2232 deadended, 19 active>
step 1360 used 19372328K, path: <PathGroup with 2249 deadended, 21 active>
step 1370 used 19518900K, path: <PathGroup with 2264 deadended, 22 active>
step 1380 used 19678924K, path: <PathGroup with 2282 deadended, 23 active>
step 1390 used 19844208K, path: <PathGroup with 2302 deadended, 19 active>
step 1400 used 19999488K, path: <PathGroup with 2319 deadended, 21 active>
step 1410 used 20155564K, path: <PathGroup with 2334 deadended, 22 active>
step 1420 used 20315956K, path: <PathGroup with 2352 deadended, 23 active>
step 1430 used 20467484K, path: <PathGroup with 2372 deadended, 19 active>
step 1440 used 20623292K, path: <PathGroup with 2389 deadended, 21 active>
step 1450 used 20779348K, path: <PathGroup with 2404 deadended, 22 active>
step 1460 used 20939688K, path: <PathGroup with 2422 deadended, 23 active>
step 1470 used 21105648K, path: <PathGroup with 2442 deadended, 19 active>
step 1480 used 21261712K, path: <PathGroup with 2459 deadended, 21 active>
step 1490 used 21406376K, path: <PathGroup with 2474 deadended, 22 active>
step 1500 used 21566896K, path: <PathGroup with 2492 deadended, 23 active>
step 1510 used 21732768K, path: <PathGroup with 2512 deadended, 19 active>
step 1520 used 21889072K, path: <PathGroup with 2529 deadended, 21 active>
step 1530 used 22046496K, path: <PathGroup with 2544 deadended, 22 active>
step 1540 used 22207592K, path: <PathGroup with 2562 deadended, 23 active>
step 1550 used 22360732K, path: <PathGroup with 2582 deadended, 19 active>
step 1560 used 22515820K, path: <PathGroup with 2599 deadended, 21 active>
step 1570 used 22672880K, path: <PathGroup with 2614 deadended, 22 active>
step 1580 used 22833096K, path: <PathGroup with 2632 deadended, 23 active>
step 1590 used 22999680K, path: <PathGroup with 2652 deadended, 19 active>
step 1600 used 23156600K, path: <PathGroup with 2669 deadended, 21 active>
step 1610 used 23313668K, path: <PathGroup with 2684 deadended, 22 active>
step 1620 used 23461520K, path: <PathGroup with 2702 deadended, 23 active>
step 1630 used 23627984K, path: <PathGroup with 2722 deadended, 19 active>
step 1640 used 23784900K, path: <PathGroup with 2739 deadended, 21 active>
step 1650 used 23942936K, path: <PathGroup with 2754 deadended, 22 active>
step 1660 used 24104288K, path: <PathGroup with 2772 deadended, 23 active>
step 1670 used 24271092K, path: <PathGroup with 2792 deadended, 19 active>
step 1680 used 24428544K, path: <PathGroup with 2809 deadended, 21 active>
step 1690 used 24572264K, path: <PathGroup with 2824 deadended, 22 active>
step 1700 used 24733656K, path: <PathGroup with 2842 deadended, 23 active>
step 1710 used 24900404K, path: <PathGroup with 2862 deadended, 19 active>
step 1720 used 25057876K, path: <PathGroup with 2879 deadended, 21 active>
step 1730 used 25215912K, path: <PathGroup with 2894 deadended, 22 active>
step 1740 used 25376960K, path: <PathGroup with 2912 deadended, 23 active>
step 1750 used 25544696K, path: <PathGroup with 2932 deadended, 19 active>
step 1760 used 25687652K, path: <PathGroup with 2949 deadended, 21 active>
step 1770 used 25844780K, path: <PathGroup with 2964 deadended, 22 active>
step 1780 used 26006764K, path: <PathGroup with 2982 deadended, 23 active>
step 1790 used 26173832K, path: <PathGroup with 3002 deadended, 19 active>
step 1800 used 26331948K, path: <PathGroup with 3019 deadended, 21 active>
step 1810 used 26490436K, path: <PathGroup with 3034 deadended, 22 active>
step 1820 used 26652156K, path: <PathGroup with 3052 deadended, 23 active>
step 1830 used 26819920K, path: <PathGroup with 3072 deadended, 19 active>
step 1840 used 26961996K, path: <PathGroup with 3089 deadended, 21 active>
step 1850 used 27121196K, path: <PathGroup with 3104 deadended, 22 active>
step 1860 used 27283452K, path: <PathGroup with 3122 deadended, 23 active>
step 1870 used 27450876K, path: <PathGroup with 3142 deadended, 19 active>
step 1880 used 27609556K, path: <PathGroup with 3159 deadended, 21 active>
step 1890 used 27768536K, path: <PathGroup with 3174 deadended, 22 active>
step 1900 used 27930644K, path: <PathGroup with 3192 deadended, 23 active>
step 1910 used 28098768K, path: <PathGroup with 3212 deadended, 19 active>
step 1920 used 28240496K, path: <PathGroup with 3229 deadended, 21 active>
step 1930 used 28400336K, path: <PathGroup with 3244 deadended, 22 active>
step 1940 used 28562832K, path: <PathGroup with 3262 deadended, 23 active>
step 1950 used 28730936K, path: <PathGroup with 3282 deadended, 19 active>
step 1960 used 28890084K, path: <PathGroup with 3299 deadended, 21 active>
step 1970 used 29049312K, path: <PathGroup with 3314 deadended, 22 active>
step 1980 used 29211792K, path: <PathGroup with 3332 deadended, 23 active>
step 1990 used 29380316K, path: <PathGroup with 3352 deadended, 19 active>
step 2000 used 29524108K, path: <PathGroup with 3369 deadended, 21 active>
step 2010 used 29682348K, path: <PathGroup with 3384 deadended, 22 active>
step 2020 used 29845052K, path: <PathGroup with 3402 deadended, 23 active>
step 2030 used 30012888K, path: <PathGroup with 3422 deadended, 19 active>
step 2040 used 30172708K, path: <PathGroup with 3439 deadended, 21 active>
step 2050 used 30332484K, path: <PathGroup with 3454 deadended, 22 active>
step 2060 used 30495952K, path: <PathGroup with 3472 deadended, 23 active>
step 2070 used 30664504K, path: <PathGroup with 3492 deadended, 19 active>
step 2080 used 30824768K, path: <PathGroup with 3509 deadended, 21 active>
step 2090 used 30967784K, path: <PathGroup with 3524 deadended, 22 active>
step 2100 used 31131244K, path: <PathGroup with 3542 deadended, 23 active>
step 2110 used 31305904K, path: <PathGroup with 3562 deadended, 19 active>
step 2120 used 31486172K, path: <PathGroup with 3579 deadended, 21 active>
step 2130 used 31662156K, path: <PathGroup with 3594 deadended, 22 active>
step 2140 used 31840992K, path: <PathGroup with 3612 deadended, 23 active>
step 2150 used 32022912K, path: <PathGroup with 3632 deadended, 19 active>
step 2160 used 32198904K, path: <PathGroup with 3649 deadended, 21 active>
step 2170 used 32374192K, path: <PathGroup with 3664 deadended, 22 active>
step 2180 used 32533152K, path: <PathGroup with 3682 deadended, 23 active>
step 2190 used 32714496K, path: <PathGroup with 3702 deadended, 19 active>
step 2200 used 32890768K, path: <PathGroup with 3719 deadended, 21 active>
step 2210 used 33065928K, path: <PathGroup with 3734 deadended, 22 active>
step 2220 used 33243808K, path: <PathGroup with 3752 deadended, 23 active>
step 2230 used 33426476K, path: <PathGroup with 3772 deadended, 19 active>
step 2240 used 33603384K, path: <PathGroup with 3789 deadended, 21 active>
step 2250 used 33778760K, path: <PathGroup with 3804 deadended, 22 active>
step 2260 used 33960876K, path: <PathGroup with 3822 deadended, 23 active>
step 2270 used 34143312K, path: <PathGroup with 3842 deadended, 19 active>
step 2280 used 34299080K, path: <PathGroup with 3859 deadended, 21 active>
step 2290 used 34474472K, path: <PathGroup with 3874 deadended, 22 active>
step 2300 used 34652492K, path: <PathGroup with 3892 deadended, 23 active>
step 2310 used 34835248K, path: <PathGroup with 3912 deadended, 19 active>
step 2320 used 35012368K, path: <PathGroup with 3929 deadended, 21 active>
step 2330 used 35188612K, path: <PathGroup with 3944 deadended, 22 active>
step 2340 used 35367980K, path: <PathGroup with 3962 deadended, 23 active>
step 2350 used 35550572K, path: <PathGroup with 3982 deadended, 19 active>
step 2360 used 35728208K, path: <PathGroup with 3999 deadended, 21 active>
step 2370 used 35888844K, path: <PathGroup with 4014 deadended, 22 active>
step 2380 used 36065752K, path: <PathGroup with 4032 deadended, 23 active>
step 2390 used 36248604K, path: <PathGroup with 4052 deadended, 19 active>
step 2400 used 36426284K, path: <PathGroup with 4069 deadended, 21 active>
step 2410 used 36602744K, path: <PathGroup with 4084 deadended, 22 active>
step 2420 used 36782568K, path: <PathGroup with 4102 deadended, 23 active>
step 2430 used 36965780K, path: <PathGroup with 4122 deadended, 19 active>
step 2440 used 37143672K, path: <PathGroup with 4139 deadended, 21 active>
step 2450 used 37321184K, path: <PathGroup with 4154 deadended, 22 active>
step 2460 used 37501540K, path: <PathGroup with 4172 deadended, 23 active>
step 2470 used 37684888K, path: <PathGroup with 4192 deadended, 19 active>
step 2480 used 37840300K, path: <PathGroup with 4209 deadended, 21 active>
step 2490 used 38017352K, path: <PathGroup with 4224 deadended, 22 active>
step 2500 used 38197276K, path: <PathGroup with 4242 deadended, 23 active>
step 2510 used 38380608K, path: <PathGroup with 4262 deadended, 19 active>
step 2520 used 38559152K, path: <PathGroup with 4279 deadended, 21 active>
step 2530 used 38735992K, path: <PathGroup with 4294 deadended, 22 active>
step 2540 used 38915712K, path: <PathGroup with 4312 deadended, 23 active>
step 2550 used 39099800K, path: <PathGroup with 4332 deadended, 19 active>
step 2560 used 39278824K, path: <PathGroup with 4349 deadended, 21 active>
step 2570 used 39456296K, path: <PathGroup with 4364 deadended, 22 active>
step 2580 used 39636892K, path: <PathGroup with 4382 deadended, 23 active>
step 2590 used 39797520K, path: <PathGroup with 4402 deadended, 19 active>
step 2600 used 39976268K, path: <PathGroup with 4419 deadended, 21 active>
step 2610 used 40154528K, path: <PathGroup with 4434 deadended, 22 active>
step 2620 used 40335072K, path: <PathGroup with 4452 deadended, 23 active>
step 2630 used 40520036K, path: <PathGroup with 4472 deadended, 19 active>
step 2640 used 40699344K, path: <PathGroup with 4489 deadended, 21 active>
step 2650 used 40877584K, path: <PathGroup with 4504 deadended, 22 active>
step 2660 used 41057552K, path: <PathGroup with 4522 deadended, 23 active>
step 2670 used 41242180K, path: <PathGroup with 4542 deadended, 19 active>
step 2680 used 41422040K, path: <PathGroup with 4559 deadended, 21 active>
step 2690 used 41600256K, path: <PathGroup with 4574 deadended, 22 active>
step 2700 used 41758920K, path: <PathGroup with 4592 deadended, 23 active>
step 2710 used 41943216K, path: <PathGroup with 4612 deadended, 19 active>
step 2720 used 42123088K, path: <PathGroup with 4629 deadended, 21 active>
